device,n_layer,n_head,n_embd,batch_size,block_size,param_count_m,avg_cpu_power,avg_gpu_power,total_power,final_loss,training_time,avg_step_time,steps_per_second,steps_per_second_watt,flops_per_step,flops_per_second,flops_per_watt,total_steps_time,forward_total_time_s,backward_total_time_s,optimizer_step_time_s,zero_grad_time_s,gradient_clipping_time_s,embedding_time_s,transformer_blocks_time_s,final_layernorm_time_s,output_head_time_s,loss_calculation_time_s,block_total_time_s,block_attention_time_s,block_mlp_time_s,block_layernorm1_time_s,block_layernorm2_time_s,block_residual1_time_s,block_residual2_time_s,attention_total_time_s,attention_qkv_proj_time_s,attention_reshape_time_s,attention_compute_time_s,attention_output_reassemble_time_s,mlp_total_time_s,mlp_fc1_time_s,mlp_activation_time_s,mlp_fc2_time_s,mlp_dropout_time_s,io_time_s,first_data_load_time_s,dynamic_learing_rate_loop_time_s,loss_evaluation_time_s,accumulation_time_s,data_loading_time_s,profiling_n_printing_time_s,loss_time_s,mfu_time_s
cpu,2,2,128,32,64,0.419072,903.1333333333333,19.366666666666667,922.5,2.3685,4.309221982955933,0.016399203980099492,60.97856952163681,66.10143037575806,10433331200,636209611921.4624,689658115.9040242,3.2962399999999983,2.214875,1.656697,0.229837,0.020253,0.063086,0.02226,1.072078,0.014069,0.041459,0.017295,1.067005,0.317358,0.638468,0.028054,0.02961,0.022117,0.029124,0.315114,0.14387,0.003717,0.108987,0.05672,0.637049,0.197535,0.278676,0.156823,0.002258,0.331165,0.005381,0.000458,0.108803,3.176091,0.139626,0.000173,0.000191,0.007997
mps,2,2,128,32,64,0.419072,176.8,502.56666666666666,679.3666666666667,2.3685,3.40415620803833,0.012036517412935327,83.08050956045862,122.29111853264112,10433331200,866806472509.0312,1275903742.469503,2.4193400000000005,0.537372,0.364727,0.226604,0.00483,0.129219,0.045322,0.205399,0.001989,0.036575,0.03257,0.203752,0.16091,0.02998,0.004311,0.004044,0.001462,0.001346,0.159325,0.01143,0.003424,0.128488,0.01433,0.028983,0.007616,0.0109,0.00764,0.001511,0.345205,0.006558,0.000335,0.167356,1.639176,0.664725,0.000185,0.493383,0.007811
cpu,2,2,128,32,128,0.427264,1848.5666666666666,15.566666666666666,1864.1333333333332,2.4251,7.653104305267334,0.033203184079601974,30.11759346942691,16.15635155001086,21537751040,648665230068.4467,347971477.39885205,6.673839999999997,4.484939,3.770105,0.276725,0.038958,0.065959,0.039673,2.211293,0.02579,0.066404,0.028218,2.19483,0.750621,1.234476,0.051667,0.05465,0.046438,0.054354,0.746878,0.28797,0.004335,0.341289,0.111151,1.232806,0.3929,0.542244,0.293195,0.00265,0.32611,0.005645,0.000539,0.232565,6.429029,0.133742,0.000161,0.000238,0.00795
mps,2,2,128,32,128,0.427264,176.96666666666667,2002.7666666666667,2179.733333333333,2.4251,4.2222740650177,0.01607253731343283,62.21792990732317,28.543826419435025,21537751040,1340034284568.0967,614769827.1507663,3.230579999999999,0.583667,0.398472,0.241769,0.00526,0.139563,0.047563,0.223469,0.002272,0.040506,0.035968,0.22161,0.173248,0.033854,0.004858,0.004571,0.001622,0.001545,0.171458,0.012823,0.003738,0.137102,0.016003,0.032706,0.008695,0.012135,0.008615,0.001728,0.341902,0.007033,0.000356,0.283349,2.032647,0.976721,0.000185,0.851774,0.007997
cpu,2,2,128,32,256,0.443648,4030.266666666667,21.6,4051.866666666667,2.4392,14.617929935455322,0.06780238805970153,14.748743054882926,3.639987262220604,45759856640,674900367811.6383,166565295.29064092,13.628280000000007,10.204188,7.692668,0.304637,0.050947,0.068029,0.07252,5.038718,0.050092,0.137271,0.054988,5.001407,1.956596,2.634092,0.104436,0.104834,0.096265,0.101784,1.954292,0.647905,0.005283,1.056519,0.240942,2.631794,0.840896,1.128836,0.654535,0.004587,0.330309,0.000596,0.000545,0.454088,13.160396,0.136552,0.000169,0.000238,0.008183
mps,2,2,128,32,256,0.443648,147.36666666666667,4813.8,4961.166666666667,2.4392,7.452465772628784,0.031894278606965164,31.35358577389542,6.3198009420960295,45759856640,1434735590163.398,289193185.1036513,6.4107499999999975,0.88766,0.634458,0.350089,0.00775,0.207505,0.060966,0.337293,0.003249,0.06099,0.053611,0.33472,0.260607,0.053118,0.006966,0.006562,0.002383,0.002245,0.258004,0.019208,0.005709,0.205895,0.024461,0.051492,0.014395,0.018681,0.013891,0.002349,0.345304,0.005667,0.000565,0.252086,3.931449,2.304826,0.000314,2.081156,0.013297
cpu,2,2,128,32,512,0.476416,3848.6666666666665,15.466666666666667,3864.133333333333,inf,44.561317920684814,inf,0.0,0.0,102257131520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,2,2,128,32,512,0.476416,97.1,10722.033333333333,10819.133333333333,inf,17.09703803062439,inf,0.0,0.0,102257131520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu,4,4,256,1,64,3.199488,502.1666666666667,24.433333333333334,526.6,2.3695,2.9445180892944336,0.009457810945273634,105.73271191255218,200.78372941996233,2473984000,261581037548.2635,496735734.04531616,1.9010200000000006,0.811765,0.507711,0.686999,0.031985,0.19127,0.00913,0.391447,0.004575,0.009969,0.006233,0.382741,0.128299,0.208361,0.01848,0.017553,0.003338,0.003534,0.125824,0.053953,0.006204,0.031458,0.031349,0.206119,0.062441,0.04896,0.089552,0.002612,0.367388,0.004166,0.000387,0.035217,1.852808,0.036839,0.00022,0.000191,0.010693
mps,4,4,256,1,64,3.199488,257.3666666666667,283.9,541.2666666666667,2.3694,4.528654098510742,0.01712199004975125,58.40442595132382,107.9032379935777,2473984000,144491615332.75992,266950884.34430334,3.4415200000000006,0.813599,0.546455,0.354936,0.005667,0.187749,0.044768,0.348041,0.002025,0.034136,0.030445,0.34499,0.264923,0.056124,0.008116,0.007382,0.002589,0.002684,0.262329,0.017984,0.006297,0.213678,0.021423,0.054165,0.01157,0.023343,0.013997,0.002772,0.386475,0.007703,0.000332,0.110961,1.678397,0.198044,0.000246,1.777601,0.01074
cpu,4,4,256,1,128,3.215872,570.4,15.633333333333333,586.0333333333333,2.5496,3.2630603313446045,0.011142288557213933,89.74816931594926,153.1451612239621,5006688256,449341105311.66266,766750080.1632376,2.2396000000000007,1.11021,0.703468,0.661917,0.029182,0.204752,0.011096,0.545763,0.005082,0.010858,0.006408,0.531297,0.176563,0.298998,0.020869,0.019907,0.005619,0.005947,0.1739,0.07121,0.00602,0.060286,0.033318,0.296613,0.082518,0.078354,0.130327,0.002843,0.366004,0.00511,0.000421,0.052016,2.17302,0.034689,0.00023,0.000191,0.011344
mps,4,4,256,1,128,3.215872,255.83333333333334,383.5,639.3333333333334,2.5496,3.9740850925445557,0.01466199004975125,68.20356558739894,106.67919539217769,5006688256,341473990843.75604,534109474.7295454,2.9470600000000013,0.786718,0.525652,0.345498,0.005605,0.182601,0.043845,0.335833,0.001809,0.034119,0.031131,0.333082,0.26114,0.048914,0.007701,0.007215,0.00247,0.002582,0.258654,0.017036,0.006068,0.211859,0.02089,0.046891,0.011068,0.018698,0.011912,0.002741,0.38215,0.006996,0.000298,0.130987,1.675925,0.244498,0.000228,1.2362,0.010368
cpu,4,4,256,1,256,3.24864,856.2333333333333,20.233333333333334,876.4666666666667,2.8004,4.141764879226685,0.015557512437810955,64.27762818749876,73.33721935137152,10248257536,658733687468.7402,751578710.8869783,3.127060000000002,1.784177,1.216151,0.665463,0.036551,0.211578,0.01818,0.886478,0.006342,0.013295,0.007159,0.865705,0.306633,0.47386,0.024591,0.02352,0.016269,0.016852,0.303973,0.109238,0.00659,0.140288,0.044717,0.471261,0.143112,0.14287,0.179605,0.003063,0.361196,0.005151,0.000466,0.084783,3.027504,0.035967,0.000244,0.000238,0.011855
mps,4,4,256,1,256,3.24864,339.93333333333334,1131.0333333333333,1470.9666666666667,2.8005,3.2864301204681396,0.011296169154228857,88.52558653706402,60.18191203317366,10248257536,907233009357.2864,616759733.524861,2.2705300000000004,0.70534,0.475192,0.311876,0.005033,0.159005,0.040069,0.302652,0.001516,0.031554,0.028903,0.300359,0.238091,0.042128,0.006381,0.006538,0.002334,0.002166,0.235935,0.014407,0.005052,0.193713,0.020182,0.040483,0.010101,0.015887,0.010132,0.002242,0.378447,0.006196,0.00025,0.163428,1.560126,0.278673,0.000254,0.401354,0.009159
cpu,4,4,256,1,512,3.314176,1652.3666666666666,18.033333333333335,1670.3999999999999,2.6982,6.405706167221069,0.02682338308457711,37.280905128442924,22.31854952612723,21436039168,799154942551.7946,478421301.81501114,5.391499999999999,3.409501,2.565917,0.680577,0.059862,0.216849,0.022243,1.726748,0.008558,0.018788,0.008592,1.706843,0.742642,0.846284,0.033128,0.034083,0.022355,0.024213,0.739838,0.193693,0.006504,0.462603,0.073702,0.84375,0.278224,0.273571,0.286091,0.003166,0.364594,0.004072,0.00047,0.165584,5.210654,0.052255,0.000239,0.0,0.013111
mps,4,4,256,1,512,3.314176,286.6666666666667,2318.8,2605.4666666666667,2.6982,4.563794374465942,0.017611194029850747,56.782067036738844,21.793434459625473,21436039168,1217182613039.5356,467164914.68177253,3.53985,0.80066,0.541804,0.359628,0.00575,0.188889,0.044134,0.343185,0.001885,0.034106,0.030984,0.340413,0.267945,0.04906,0.007587,0.00756,0.002676,0.002472,0.265322,0.017418,0.006365,0.2156,0.022927,0.047124,0.011671,0.018299,0.011921,0.002636,0.384223,0.006404,0.000341,0.228546,2.324194,0.849828,0.00024,0.889587,0.01074
cpu,4,4,256,2,64,3.199488,547.3,15.933333333333334,563.2333333333332,2.6162,3.2252020835876465,0.011009203980099505,90.83308855096367,161.27079697750548,4947968000,449439215491.3346,797962742.779194,2.2128500000000004,1.093507,0.680867,0.654139,0.032733,0.203146,0.010526,0.536033,0.005125,0.011288,0.006357,0.519341,0.160057,0.303406,0.020622,0.02001,0.005623,0.006133,0.157387,0.070666,0.006101,0.04141,0.036196,0.30075,0.087325,0.07815,0.129836,0.002863,0.354651,0.007534,0.000431,0.049405,2.148922,0.045702,0.000243,0.0,0.011855
mps,4,4,256,2,64,3.199488,281.8666666666667,369.6333333333333,651.5,2.6162,3.973405361175537,0.014683482587064681,68.10373452418867,104.53374447304478,4947968000,336975099106.1807,517229622.57280236,2.951380000000001,0.796544,0.554315,0.341393,0.005508,0.17973,0.04328,0.340711,0.001784,0.034206,0.03056,0.338185,0.262046,0.053657,0.007281,0.007123,0.002497,0.002478,0.259164,0.019135,0.005773,0.20774,0.023752,0.051811,0.014063,0.018698,0.014143,0.00253,0.377816,0.006196,0.000292,0.114316,1.702028,0.243636,0.000238,1.118612,0.010554
cpu,4,4,256,2,128,3.215872,802.8,19.7,822.5,2.539,4.041358947753906,0.0150455223880597,66.46495709538218,80.80845847462878,10013376512,665538640249.9877,809165520.0607753,3.0241499999999997,1.66233,1.170008,0.654325,0.038502,0.209549,0.016107,0.825783,0.006374,0.013093,0.007096,0.806944,0.261621,0.459928,0.024441,0.023564,0.016284,0.017196,0.258934,0.105944,0.006425,0.097436,0.045998,0.457504,0.144128,0.142354,0.165484,0.002948,0.357562,0.005232,0.000456,0.080088,2.929224,0.053863,0.000241,0.000191,0.012088
mps,4,4,256,2,128,3.215872,363.93333333333334,999.3,1363.2333333333333,2.539,3.2852988243103027,0.011307014925373138,88.4406721491083,64.87566727322906,10013376512,885589749203.3735,649624482.8740789,2.272710000000001,0.73083,0.507287,0.312634,0.004869,0.157188,0.04076,0.314341,0.001522,0.032285,0.029049,0.312016,0.245617,0.046088,0.006351,0.006812,0.002399,0.002032,0.242928,0.016703,0.005013,0.195081,0.023439,0.044368,0.012661,0.015546,0.011854,0.002184,0.378526,0.005576,0.000262,0.157693,1.589673,0.264951,0.000237,0.472021,0.008601
cpu,4,4,256,2,256,3.24864,1390.2333333333333,15.4,1405.6333333333334,2.6077,5.868940830230713,0.02412805970149254,41.445520790805276,29.48530019028571,20496515072,849488741555.6296,604345899.7526355,4.849740000000001,3.023474,2.24036,0.680321,0.060038,0.217416,0.019844,1.523222,0.00874,0.019982,0.008558,1.504419,0.53601,0.847055,0.033377,0.034548,0.023519,0.025843,0.533343,0.191081,0.00682,0.26296,0.069258,0.844577,0.278568,0.271269,0.288731,0.003232,0.361027,0.005388,0.000429,0.14368,4.691208,0.039426,0.00024,0.0,0.011855
mps,4,4,256,2,256,3.24864,306.8,1963.5,2270.3,2.6077,4.110087156295776,0.0153552736318408,65.12420579249029,28.685286434607885,20496515072,1334819265577.807,587948405.7515776,3.0864100000000008,0.773768,0.540818,0.334223,0.005594,0.173451,0.042755,0.332198,0.001707,0.033502,0.0299,0.329709,0.25644,0.051361,0.007042,0.007081,0.002445,0.002331,0.253724,0.018589,0.005766,0.202814,0.023813,0.04958,0.013884,0.017328,0.013537,0.002485,0.38538,0.005256,0.000294,0.160274,2.063654,0.645037,0.000251,0.751829,0.009763
cpu,4,4,256,2,512,3.314176,2992.1666666666665,19.433333333333334,3011.6,2.5129,10.710540771484375,0.04835472636815919,20.68050168221992,6.866948360413042,42872078336,886616088147.9121,294400348.03689474,9.719299999999997,6.599875,5.088364,0.728935,0.13157,0.223002,0.027156,3.384846,0.013952,0.027117,0.011731,3.371747,1.505456,1.649557,0.054609,0.056548,0.047207,0.053982,1.500938,0.412959,0.007456,0.944721,0.132105,1.646782,0.563832,0.55148,0.524282,0.004096,0.361733,0.005315,0.000514,0.33136,9.370455,0.049598,0.000739,0.000763,0.047235
mps,4,4,256,2,512,3.314176,216.43333333333334,4358.766666666666,4575.2,2.5129,6.934751987457275,0.029298507462686585,34.13143148242484,7.460096057532969,42872078336,1463285404234.3342,319829822.5726382,5.889000000000004,1.084197,0.761162,0.455746,0.007296,0.233978,0.051768,0.469031,0.002376,0.044055,0.039058,0.465345,0.363951,0.070624,0.010319,0.009734,0.003304,0.00331,0.360154,0.026597,0.00818,0.288713,0.032712,0.068117,0.018772,0.023471,0.01916,0.00346,0.384228,0.005361,0.000397,0.252108,3.756881,1.780488,0.000313,1.811981,0.013669
cpu,4,4,256,4,64,3.199488,758.1333333333333,16.9,775.0333333333333,2.6164,4.003649950027466,0.014836218905472638,67.40261830668526,86.96737986325567,9895936000,667011996995.3856,860623625.2144669,2.9820800000000003,1.672846,1.131268,0.655997,0.038696,0.209709,0.015764,0.829887,0.006473,0.014238,0.007197,0.810954,0.24315,0.480312,0.024835,0.023954,0.01626,0.018403,0.240495,0.112511,0.006352,0.066067,0.052472,0.477851,0.147086,0.141614,0.183475,0.003063,0.357977,0.005398,0.000455,0.079276,2.887924,0.043614,0.000246,0.0,0.012692
mps,4,4,256,4,64,3.199488,338.43333333333334,949.4666666666667,1287.9,2.6164,3.344296932220459,0.011606019900497516,86.16218208941146,66.90129830686502,9895936000,852655439577.1621,662050966.3616446,2.3328100000000007,0.739711,0.510719,0.321013,0.004957,0.162532,0.040432,0.316989,0.00158,0.033499,0.030189,0.314716,0.247493,0.046565,0.006485,0.00674,0.002394,0.002074,0.244903,0.017101,0.005165,0.197133,0.02291,0.044915,0.012637,0.015696,0.012067,0.002268,0.377473,0.004295,0.00026,0.134011,1.59786,0.250573,0.000218,0.480747,0.008415
cpu,4,4,256,4,128,3.215872,1280.1333333333334,16.233333333333334,1296.3666666666668,2.5881,5.708658933639526,0.023365771144278593,42.797645916551005,33.013534686599215,20026753024,857097884779.3691,661153905.6177797,4.696519999999997,2.918463,2.14101,0.681077,0.058663,0.215809,0.019092,1.467016,0.008921,0.020875,0.008622,1.450715,0.475123,0.849457,0.035141,0.035531,0.024079,0.027374,0.472206,0.204252,0.006694,0.179821,0.078241,0.846945,0.28063,0.270828,0.289448,0.003304,0.355539,0.005215,0.000439,0.136249,4.545346,0.044307,0.000244,0.000191,0.01246
mps,4,4,256,4,128,3.215872,309.46666666666664,1764.0666666666666,2073.5333333333333,2.5881,4.011473894119263,0.01474149253731343,67.83573627085697,32.71504498160482,20026753024,1358529536497.6514,655176126.0156503,2.9630399999999995,0.768707,0.531209,0.328051,0.005375,0.169818,0.042665,0.331403,0.001646,0.03298,0.029504,0.329003,0.25685,0.050768,0.006941,0.00682,0.002451,0.002263,0.254144,0.018317,0.005598,0.204568,0.022996,0.048925,0.013604,0.017129,0.013396,0.002447,0.376921,0.005416,0.000287,0.237956,1.925923,0.530614,0.000221,0.717831,0.009531
cpu,4,4,256,4,256,3.24864,2473.9666666666667,21.133333333333333,2495.1,2.4931,9.886730909347534,0.044085124378109464,22.683388424249326,9.091174070878653,40993030144,929860825443.3132,372674772.7318798,8.861110000000002,5.964605,4.548642,0.75,0.11064,0.227579,0.026696,3.039433,0.014202,0.029445,0.011798,3.022284,1.105324,1.700353,0.053849,0.056833,0.047501,0.05397,1.100957,0.424029,0.007679,0.526961,0.138608,1.697448,0.589802,0.557656,0.542314,0.004474,0.3598,0.005124,0.0005,0.28236,8.561794,0.067952,0.000246,0.000191,0.012088
mps,4,4,256,4,256,3.24864,225.06666666666666,3603.4666666666667,3828.5333333333333,2.4931,5.9393630027771,0.024450049751243794,40.899712277645946,10.682866966718137,40993030144,1676603138278.4673,437923087.5910185,4.914460000000003,0.985244,0.681831,0.413721,0.006586,0.210805,0.048375,0.426469,0.002168,0.040472,0.035934,0.423266,0.331453,0.063936,0.009236,0.008774,0.003048,0.003066,0.327953,0.024004,0.007535,0.263569,0.02945,0.061641,0.016911,0.021506,0.017226,0.003106,0.381124,0.00639,0.000378,0.23307,3.094333,1.312649,0.000314,1.557589,0.012692
cpu,4,4,256,4,512,3.314176,3342.5333333333333,19.166666666666668,3361.7,inf,30.836687803268433,inf,0.0,0.0,85744156672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,4,4,256,4,512,3.314176,198.1,8557.766666666666,8755.866666666667,2.5484,11.476562976837158,0.051757412935323384,19.320903872255183,2.2066238109597203,85744156672,1656654608667.2998,189205097.76309595,10.40324,1.553545,1.112952,0.581909,0.009743,0.317667,0.065763,0.675702,0.003285,0.058739,0.051304,0.67088,0.524357,0.104301,0.014213,0.013279,0.004731,0.004523,0.519025,0.038892,0.011344,0.41343,0.050004,0.100865,0.028852,0.034895,0.027674,0.005066,0.38371,0.006399,0.000549,0.373894,6.347959,3.573951,0.000411,3.549623,0.019712
cpu,4,4,256,8,64,3.199488,1221.9,20.2,1242.1000000000001,2.553,5.582532167434692,0.02255059701492538,44.34472397063981,35.701412100990105,19791872000,877665100702.2349,706597778.5220472,4.532670000000001,2.772586,2.048847,0.669321,0.058567,0.216061,0.017631,1.393045,0.008799,0.020327,0.008751,1.376773,0.401745,0.854705,0.033464,0.034145,0.022327,0.026328,0.39882,0.195625,0.006667,0.113267,0.080032,0.852161,0.281588,0.271779,0.292858,0.003193,0.365744,0.004312,0.000452,0.131625,4.385799,0.05806,0.000249,0.000191,0.012274
mps,4,4,256,8,64,3.199488,307.76666666666665,1757.9333333333334,2065.7,2.553,3.783392906188965,0.013683283582089553,73.08187351382011,35.37874498417976,19791872000,1446427086105.718,700211592.2475278,2.75034,0.739271,0.515958,0.323601,0.005221,0.167714,0.042953,0.315531,0.001898,0.033652,0.029883,0.313082,0.243116,0.049052,0.006896,0.006513,0.002274,0.00238,0.240504,0.01787,0.005349,0.192481,0.022231,0.047329,0.012666,0.01666,0.013332,0.002461,0.380725,0.006613,0.000257,0.191351,1.816483,0.45793,0.000231,0.663233,0.009298
cpu,4,4,256,8,128,3.215872,2273.9666666666667,19.066666666666666,2293.0333333333333,2.4921,9.444086074829102,0.041867164179104494,23.885066486043268,10.416362526802896,40053506048,956680654955.6161,417211839.46546036,8.415300000000004,5.609854,4.312096,0.71325,0.131757,0.221805,0.023238,2.857646,0.014426,0.029316,0.011871,2.844189,0.929587,1.695614,0.055391,0.057839,0.045973,0.055269,0.925124,0.421683,0.007338,0.351905,0.140451,1.692704,0.585758,0.555054,0.544071,0.004423,0.356346,0.006698,0.000501,0.267286,8.131112,0.064813,0.000251,0.0,0.012692
mps,4,4,256,8,128,3.215872,240.36666666666667,3252.7,3493.0666666666666,2.4921,5.491150140762329,0.022124427860696516,45.19890892982026,12.939606724698526,40053506048,1810374772183.5571,518276616.20645386,4.44701,0.920449,0.639669,0.389241,0.006234,0.198906,0.04694,0.397367,0.002046,0.038161,0.033879,0.39442,0.30751,0.060966,0.008493,0.008276,0.002884,0.002826,0.304245,0.022583,0.007001,0.243999,0.027399,0.058751,0.016301,0.020501,0.016187,0.002885,0.386778,0.006534,0.000339,0.217393,2.75423,1.083227,0.000263,1.384974,0.01246
cpu,4,4,256,8,256,3.24864,4301.533333333334,13.0,4314.533333333334,inf,17.29337430000305,inf,0.0,0.0,81986060288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,4,4,256,8,256,3.24864,196.7,7144.133333333333,7340.833333333333,2.497,9.627910852432251,0.04256019900497514,23.496130736679675,3.2007443392003188,81986060288,1926355191112.1497,262416418.3601521,8.554600000000002,1.325909,0.952868,0.550614,0.008726,0.28475,0.060662,0.573855,0.003048,0.053534,0.047318,0.569603,0.445147,0.086316,0.012642,0.012153,0.004215,0.004058,0.440497,0.032093,0.00999,0.353858,0.039862,0.083105,0.023046,0.028504,0.023211,0.004347,0.381798,0.006411,0.000491,0.365129,5.049526,2.616213,0.000408,3.059387,0.017713
cpu,4,4,256,8,512,3.314176,3337.1,20.066666666666666,3357.1666666666665,inf,56.83625793457031,inf,0.0,0.0,171488313344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,4,4,256,8,512,3.314176,134.03333333333333,11677.233333333334,11811.266666666666,inf,20.58204674720764,inf,0.0,0.0,171488313344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu,4,4,256,16,64,3.199488,2184.733333333333,25.066666666666666,2209.7999999999997,2.3511,9.071838855743408,0.03996656716417913,25.02091300191203,11.322704770527666,39583744000,990421414913.9574,448195047.02414584,8.033280000000005,5.325894,4.047842,0.720514,0.127257,0.220353,0.022335,2.710786,0.014258,0.029806,0.01201,2.68934,0.803974,1.67103,0.055066,0.056419,0.04432,0.054083,0.799634,0.418414,0.007488,0.233191,0.136908,1.668132,0.580959,0.552,0.527887,0.004112,0.36013,0.004362,0.000513,0.261855,7.754408,0.087619,0.000246,0.000191,0.01246
mps,4,4,256,16,64,3.199488,253.3,3117.4333333333334,3370.7333333333336,2.3511,5.230708122253418,0.020821044776119388,48.0283295460248,14.248629243693202,39583744000,1901141101497.482,564014092.3332653,4.185029999999997,0.873724,0.610814,0.387343,0.005916,0.191544,0.046901,0.37494,0.001891,0.037378,0.033288,0.372181,0.291001,0.057093,0.007989,0.007663,0.002665,0.002529,0.288001,0.021604,0.006619,0.230462,0.026173,0.0551,0.015312,0.019164,0.015403,0.002735,0.383325,0.005599,0.000332,0.20316,2.561992,0.952803,0.000251,1.309013,0.01074
cpu,4,4,256,16,128,3.215872,4172.933333333333,13.3,4186.233333333334,inf,16.300052404403687,inf,0.0,0.0,80107012096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,4,4,256,16,128,3.215872,231.6,6427.3,6658.900000000001,2.4227,8.75069785118103,0.03824029850746267,26.150423480738468,3.9271386386247675,80107012096,2094832290087.0388,314591342.42698324,7.686299999999997,1.229315,0.866296,0.508914,0.007917,0.259503,0.058126,0.532922,0.002668,0.049555,0.043823,0.529146,0.414935,0.080396,0.011133,0.010851,0.003759,0.003659,0.410805,0.029721,0.008744,0.331377,0.036848,0.077538,0.021939,0.026961,0.02117,0.003927,0.381621,0.00634,0.000443,0.358012,4.423329,2.19333,0.00035,2.772379,0.015435
cpu,4,4,256,16,256,3.24864,4313.733333333334,16.7,4330.433333333333,inf,33.49108409881592,inf,0.0,0.0,163972120576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,4,4,256,16,256,3.24864,172.83333333333334,12712.266666666666,12885.1,inf,16.77019190788269,inf,0.0,0.0,163972120576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
